Number,Type,Subtype,SwitchOn,SexDep,Mutability,Data,ParsedData
23,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 43 1 11 1 49 1,"{'reactants': [{'chem': 43, 'proportion': 1, 'chem_name': 'Chem2B'}], 'products': [{'chem': 11, 'proportion': 1, 'chem_name': 'Boredom'}], 'rate': 1}"
24,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 44 1 12 1 49 1,"{'reactants': [{'chem': 44, 'proportion': 1, 'chem_name': 'Chem2C'}], 'products': [{'chem': 12, 'proportion': 1, 'chem_name': 'Chem0C'}], 'rate': 1}"
14,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 6 13 49 0 0 255,
15,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 6 14 50 0 0 255,
1,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,0,
2,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,1,
3,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,2,
4,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,3,
5,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,4,
6,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,5,
7,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,6,
8,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,7,
9,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,8,
10,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,9,
12,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,11,
13,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,12,
14,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,13,
15,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,14,
16,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,15,
17,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,16,
18,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,18,
19,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,21,
20,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,22,
21,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,23,
25,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 49 1,
26,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 50 1,
1,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
2,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
3,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
4,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
8,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
9,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,,
5,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,53 15 1,
6,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,44 30 5,
7,0x00 (Brain),0x00 (Lobe),0 (Embryo),None,None,12,
1,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,0 8 1 52 0 1 255,
2,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,0 6 1 53 0 1 255,
3,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,0 6 2 70 0 1 255,
16,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 8 14 52 0 4 255,
17,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 6 15 53 0 16 255,
43,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 6 16 70 0 16 255,
18,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,0 8 13 51 0 0 255,
4,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 1 11 0 25 8,
4,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,1 10 0 0 0 0 0,
5,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,1 5 0 0 0 0 9,
5,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 1 2 0 64 10,
6,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 3 5 0 24 49,
7,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 2 4 0 24 50,
8,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 4 7 0 114 8,
9,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 5 8 0 18 5,
10,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 4 5 9 0 75 51,
27,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 57 1,
11,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,None,1 0 0,
28,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,3 58 1,
29,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 59 1,
30,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 58 2,
1,0x01 (Biochemistry),0x04 (Initial Concentration),0 (Embryo),None,None,59 122 103,
3,0x01 (Biochemistry),0x04 (Initial Concentration),0 (Embryo),None,None,11 74 103 101 110 101 2,
7,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,1 10 0 0 0 0 2,
24,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,,
25,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,,
26,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Duplicable,,
27,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,"Mutable,Duplicable",,
28,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Deletable,,
29,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,"Mutable,Deletable",,
4,0x01 (Biochemistry),0x04 (Initial Concentration),0 (Embryo),None,None,,
30,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,,
34,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 67 2 59 2 17 2,"{'reactants': [{'chem': 67, 'proportion': 1, 'chem_name': 'Chem43'}], 'products': [{'chem': 59, 'proportion': 2, 'chem_name': 'Chem3B'}], 'rate': 1}"
39,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
41,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
42,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
43,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
44,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
2,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
45,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
46,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
47,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
48,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
3,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
4,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
49,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
50,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
51,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
52,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
5,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
53,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
54,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
55,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
56,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
6,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
57,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
58,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
59,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
60,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
61,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
62,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
63,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
64,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
65,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
66,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
67,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
68,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
69,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
70,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
71,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
72,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
73,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
74,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
75,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
76,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
77,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
5,0x01 (Biochemistry),0x04 (Initial Concentration),0 (Embryo),None,None,240 130 103 101 110 101 1,
4,0x02 (Creature),0x02 (Appearance),0 (Embryo),None,None,3,
7,0x01 (Biochemistry),0x04 (Initial Concentration),0 (Embryo),None,None,243 147 103 101 110 101 1,
35,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 248 4 58 1 240 1,"{'reactants': [{'chem': 248, 'proportion': 2, 'chem_name': 'ChemF8'}], 'products': [{'chem': 58, 'proportion': 4, 'chem_name': 'Chem3A'}], 'rate': 1}"
36,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 249 4 58 1 241 1,"{'reactants': [{'chem': 249, 'proportion': 2, 'chem_name': 'ChemF9'}], 'products': [{'chem': 58, 'proportion': 4, 'chem_name': 'Chem3A'}], 'rate': 1}"
37,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 250 4 58 1 242 1,"{'reactants': [{'chem': 250, 'proportion': 2, 'chem_name': 'ChemFA'}], 'products': [{'chem': 58, 'proportion': 4, 'chem_name': 'Chem3A'}], 'rate': 1}"
38,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 251 4 58 1 243 1,"{'reactants': [{'chem': 251, 'proportion': 2, 'chem_name': 'ChemFB'}], 'products': [{'chem': 58, 'proportion': 4, 'chem_name': 'Chem3A'}], 'rate': 1}"
39,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 252 4 58 1 244 1,"{'reactants': [{'chem': 252, 'proportion': 2, 'chem_name': 'ChemFC'}], 'products': [{'chem': 58, 'proportion': 4, 'chem_name': 'Chem3A'}], 'rate': 1}"
40,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 253 1 58 1 245 1,"{'reactants': [{'chem': 253, 'proportion': 2, 'chem_name': 'ChemFD'}], 'products': [{'chem': 58, 'proportion': 1, 'chem_name': 'Chem3A'}], 'rate': 1}"
41,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 254 1 58 1 246 1,"{'reactants': [{'chem': 254, 'proportion': 2, 'chem_name': 'ChemFE'}], 'products': [{'chem': 58, 'proportion': 1, 'chem_name': 'Chem3A'}], 'rate': 1}"
42,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 255 1 58 1 247 1,"{'reactants': [{'chem': 255, 'proportion': 2, 'chem_name': 'ChemFF'}], 'products': [{'chem': 58, 'proportion': 1, 'chem_name': 'Chem3A'}], 'rate': 1}"
19,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 0 17 65 0 255,
31,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 2 232 58 0 255,
33,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 3 233 42 0 255,
32,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 4 4 141 0 255,
43,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,4 235 1 0 2 5 1,"{'reactants': [{'chem': 235, 'proportion': 4, 'chem_name': 'ChemEB'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
44,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,2 234 1 0 2 7 1,"{'reactants': [{'chem': 234, 'proportion': 2, 'chem_name': 'ChemEA'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
78,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
79,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
22,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,Duplicable,29 0 255 0 0 1 190 6 160 7 112 61 32 103 101 110 101,
24,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,31,
25,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,None,32,
7,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
34,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,1 4 9 1 48 0 239,
35,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,1 4 11 10 144 0 239,
36,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,1 4 12 12 128 0 239,
37,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,1 4 13 7 180 0 255,
38,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,Mutable,1 4 14 6 174 0 255,
39,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 10 59 0 35 255,
80,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
81,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
82,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
83,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
84,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
85,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
86,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
87,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
88,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
89,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
90,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
91,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
92,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
93,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
94,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
95,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
96,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
97,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
98,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
99,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
100,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
40,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 15 68 106 0 255,
101,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
102,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
103,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
104,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
8,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
45,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,Duplicable,1 68 1 0 2 12 1,"{'reactants': [{'chem': 68, 'proportion': 1, 'chem_name': 'Chem44'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
41,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 5 7 230 0 255,
42,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,,
19,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,,
51,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1,
26,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,"Mutable,Deletable",23,
27,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Duplicable",1 4 1 11 0 47 8,
27,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Duplicable",1 4 1 11 0 47 8,
97,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
